cod_ine,FP,n_lineas_emt_unicas_log_norm,n_comercios_log_norm,n_monumentos_log_norm,pct_area_turistica_log_norm
4625009030,0.109015,0.2,0.23606,0.0,0.0
4625009031,0.38112,0.561471,0.23606,0.0,0.726948
4625009032,0.1,0.4,0.0,0.0,0.0
4625009033,0.037234,0.0,0.148937,0.0,0.0
4625009034,0.05,0.2,0.0,0.0,0.0
4625009035,0.129248,0.516993,0.0,0.0,0.0
4625009036,0.0,0.0,0.0,0.0,0.0
4625009037,0.0,0.0,0.0,0.0,0.0
4625009038,0.200372,0.464386,0.0,0.0,0.337104
4625009039,0.28689,0.516993,0.148937,0.0,0.481629
4625009040,0.153331,0.464386,0.148937,0.0,0.0
4625009041,0.159015,0.4,0.23606,0.0,0.0
4625009042,0.138263,0.316993,0.23606,0.0,0.0
4625010001,0.53969,0.561471,0.567056,0.239812,0.790423
4625010002,0.372,0.6,0.345821,0.239812,0.302368
4625010003,0.175498,0.316993,0.384997,0.0,0.0
4625010004,0.212655,0.0,0.23606,0.0,0.61456
4625010005,0.451232,0.4,0.446811,0.239812,0.718305
4625010006,0.207315,0.316993,0.148937,0.0,0.363329
4625010007,0.074468,0.0,0.297874,0.0,0.0
4625010008,0.183778,0.316993,0.418119,0.0,0.0
4625010009,0.138263,0.316993,0.23606,0.0,0.0
4625010010,0.391114,0.6,0.148937,0.0,0.815518
4625010011,0.366615,0.4,0.23606,0.380094,0.450307
4625010012,0.196249,0.4,0.384997,0.0,0.0
4625010013,0.146249,0.2,0.384997,0.0,0.0
4625010014,0.34489,0.2,0.472119,0.0,0.707442
4625010015,0.251872,0.0,0.494758,0.0,0.51273
4625010016,0.272685,0.316993,0.533934,0.239812,0.0
4625010017,0.220626,0.464386,0.418119,0.0,0.0
4625010018,0.25786,0.464386,0.567056,0.0,0.0
4625010019,0.195428,0.0,0.472119,0.0,0.309594
4625010021,0.074468,0.0,0.297874,0.0,0.0
4625010022,0.202938,0.316993,0.494758,0.0,0.0
4625010023,0.037234,0.0,0.148937,0.0,0.0
4625010024,0.05,0.2,0.0,0.0,0.0
4625010025,0.137234,0.4,0.148937,0.0,0.0
4625010026,0.186455,0.4,0.345821,0.0,0.0
4625010027,0.087234,0.2,0.148937,0.0,0.0
4625010028,0.29023,0.316993,0.23606,0.0,0.607865
4625010029,0.215704,0.516993,0.345821,0.0,0.0
4625010030,0.287569,0.464386,0.23606,0.0,0.449829
4625010031,0.137234,0.4,0.148937,0.0,0.0
4625010032,0.298621,0.316993,0.148937,0.239812,0.488741
4625010033,0.166879,0.4,0.148937,0.0,0.11858
4625010034,0.184755,0.4,0.0,0.0,0.339021
4625010035,0.234434,0.2,0.0,0.0,0.737735
4625010036,0.341425,0.516993,0.148937,0.0,0.699771
4625010037,0.210502,0.316993,0.0,0.0,0.525015
4625010039,0.325445,0.464386,0.472119,0.0,0.365274
4625010040,0.663718,0.664386,0.751297,0.239812,0.999379
4625010041,0.236617,0.561471,0.384997,0.0,0.0
4625010043,0.20964,0.464386,0.148937,0.0,0.225238
4625010044,0.294805,0.4,0.297874,0.0,0.481347
4625010045,0.345842,0.516993,0.148937,0.0,0.71744
4625010046,0.175498,0.316993,0.384997,0.0,0.0
4625010047,0.218826,0.2,0.23606,0.239812,0.199434
4625010048,0.190565,0.464386,0.297874,0.0,0.0
4625010049,0.116483,0.316993,0.148937,0.0,0.0
4625010050,0.329556,0.2,0.551133,0.0,0.567092
4625010051,0.364694,0.316993,0.148937,0.0,0.992846
4625010052,0.21803,0.4,0.472119,0.0,0.0
4625010053,0.407629,0.6,0.297874,0.0,0.732641
4625010054,0.323796,0.464386,0.418119,0.0,0.41268
4625010055,0.153717,0.316993,0.297874,0.0,0.0
4625011001,0.226823,0.561471,0.345821,0.0,0.0
4625011002,0.352416,0.561471,0.533934,0.0,0.314259
4625011004,0.465589,0.464386,0.632674,0.239812,0.525485
4625011005,0.11803,0.0,0.472119,0.0,0.0
4625011006,0.40907,0.633985,0.446811,0.479625,0.075861
4625011008,0.213053,0.0,0.472119,0.380094,0.0
4625011009,0.279621,0.316993,0.418119,0.0,0.383372
4625011011,0.234512,0.316993,0.621056,0.0,0.0
4625011012,0.44481,0.516993,0.775881,0.0,0.486367
4625011015,0.283642,0.4,0.494758,0.239812,0.0
4625011017,0.244872,0.4,0.567056,0.0,0.01243
4625011019,0.477847,0.6,0.595748,0.239812,0.475829
4625011021,0.227799,0.464386,0.446811,0.0,0.0
4625011022,0.218968,0.4,0.23606,0.239812,0.0
4625011024,0.219197,0.464386,0.345821,0.0,0.06658
4625011026,0.239786,0.464386,0.494758,0.0,0.0
4625011028,0.206202,0.2,0.384997,0.239812,0.0
4625011030,0.109015,0.2,0.23606,0.0,0.0
4625011031,0.360447,0.6,0.297874,0.0,0.543913
4625011032,0.137234,0.4,0.148937,0.0,0.0
4625011033,0.276532,0.2,0.23606,0.0,0.670067
4625011034,0.175112,0.464386,0.23606,0.0,0.0
4625011035,0.188263,0.516993,0.23606,0.0,0.0
4625011036,0.086455,0.0,0.345821,0.0,0.0
4625011037,0.116096,0.464386,0.0,0.0,0.0
4625011038,0.318523,0.464386,0.551133,0.239812,0.018762
4625011039,0.086455,0.0,0.345821,0.0,0.0
4625011040,0.225704,0.4,0.384997,0.0,0.117819
4625011041,0.328468,0.4,0.494758,0.0,0.419114
4625011042,0.168744,0.316993,0.148937,0.0,0.209044
4625011044,0.233095,0.316993,0.0,0.0,0.615386
4625011045,0.153331,0.464386,0.148937,0.0,0.0
4625011046,0.287752,0.464386,0.446811,0.239812,0.0
4625011047,0.153331,0.464386,0.148937,0.0,0.0
4625011048,0.087234,0.2,0.148937,0.0,0.0
4625011050,0.327351,0.516993,0.297874,0.0,0.494538
4625011051,0.303684,0.4,0.148937,0.0,0.665798
4625011052,0.216278,0.0,0.384997,0.0,0.480115
4625011053,0.230252,0.2,0.0,0.239812,0.481194
4625011054,0.153717,0.316993,0.297874,0.0,0.0
4625011055,0.270982,0.516993,0.148937,0.0,0.417996
4625012001,0.153717,0.316993,0.297874,0.0,0.0
4625012002,0.175498,0.316993,0.384997,0.0,0.0
4625012003,0.11803,0.0,0.472119,0.0,0.0
4625012006,0.258826,0.2,0.345821,0.0,0.489481
4625012008,0.059015,0.0,0.23606,0.0,0.0
4625012009,0.0,0.0,0.0,0.0,0.0
4625012010,0.356616,0.2,0.23606,0.239812,0.750593
4625012011,0.0,0.0,0.0,0.0,0.0
4625012012,0.146408,0.0,0.345821,0.239812,0.0
4625012013,0.112476,0.0,0.446811,0.0,0.003092
4625012014,0.037234,0.0,0.148937,0.0,0.0
4625012015,0.111703,0.0,0.446811,0.0,0.0
4625012016,0.153717,0.316993,0.297874,0.0,0.0
4625012018,0.175498,0.316993,0.384997,0.0,0.0
4625012019,0.136455,0.2,0.345821,0.0,0.0
4625012020,0.037234,0.0,0.148937,0.0,0.0
4625012021,0.118968,0.0,0.23606,0.239812,0.0
4625012023,0.22369,0.4,0.494758,0.0,0.0
4625012024,0.221012,0.316993,0.567056,0.0,0.0
4625012025,0.212225,0.2,0.0,0.0,0.6489
4625012026,0.086455,0.0,0.345821,0.0,0.0
4625012027,0.124469,0.2,0.297874,0.0,0.0
4625012028,0.274265,0.464386,0.632674,0.0,0.0
4625012029,0.266366,0.2,0.345821,0.0,0.519643
4625012030,0.260059,0.0,0.494758,0.0,0.545478
4625012031,0.096249,0.0,0.384997,0.0,0.0
4625012032,0.137234,0.4,0.148937,0.0,0.0
4625012033,0.244898,0.561471,0.418119,0.0,0.0
4625012034,0.21803,0.4,0.472119,0.0,0.0
4625012035,0.037234,0.0,0.148937,0.0,0.0
4625012036,0.021679,0.0,0.0,0.0,0.086715
4625012037,0.424424,0.4,0.418119,0.0,0.879576
4625012038,0.17369,0.2,0.494758,0.0,0.0
4625012039,0.111703,0.0,0.446811,0.0,0.0
4625012040,0.406248,0.516993,0.515238,0.0,0.592761
4625012041,0.45936,0.464386,0.567056,0.0,0.805997
4625012042,0.175112,0.464386,0.23606,0.0,0.0
4625012043,0.303424,0.4,0.23606,0.0,0.577634
4625012044,0.190951,0.316993,0.446811,0.0,0.0
4625012045,0.380654,0.516993,0.446811,0.0,0.558812
4625012046,0.454507,0.464386,0.494758,0.0,0.858882
4625012047,0.446046,0.516993,0.621056,0.0,0.646137
4625012048,0.377972,0.2,0.581881,0.0,0.730007
4625013001,0.256202,0.4,0.384997,0.239812,0.0
4625013002,0.21803,0.4,0.472119,0.0,0.0
4625013003,0.037234,0.0,0.148937,0.0,0.0
4625013004,0.36612,0.4,0.345821,0.0,0.718657
4625013005,0.074468,0.0,0.297874,0.0,0.0
4625013007,0.159015,0.4,0.23606,0.0,0.0
4625013008,0.378414,0.316993,0.494758,0.0,0.701907
4625013009,0.243712,0.0,0.472119,0.0,0.502727
4625013010,0.087234,0.2,0.148937,0.0,0.0
4625013011,0.330275,0.4,0.446811,0.0,0.47429
4625013012,0.365684,0.4,0.494758,0.0,0.567979
4625013013,0.404832,0.516993,0.664175,0.0,0.438158
4625013014,0.432224,0.4,0.643695,0.0,0.685199
4625013015,0.283484,0.6,0.533934,0.0,0.0
4625013016,0.159015,0.4,0.23606,0.0,0.0
4625013017,0.191834,0.0,0.23606,0.0,0.531277
4625013019,0.20453,0.4,0.418119,0.0,0.0
4625013020,0.16603,0.0,0.148937,0.0,0.515182
4625013021,0.380992,0.561471,0.581881,0.0,0.380614
4625013022,0.397727,0.561471,0.446811,0.239812,0.342813
4625013023,0.218694,0.0,0.567056,0.0,0.307719
4625013024,0.376543,0.561471,0.581881,0.0,0.362821
4625013025,0.430404,0.561471,0.76394,0.0,0.396206
4625013026,0.086455,0.0,0.345821,0.0,0.0
4625013027,0.321539,0.4,0.515238,0.0,0.370917
4625013028,0.225633,0.4,0.23606,0.0,0.266473
4625013029,0.154877,0.0,0.384997,0.0,0.234511
4625013030,0.109015,0.2,0.23606,0.0,0.0
4625014001,0.37723,0.2,0.664175,0.0,0.644745
4625014002,0.268676,0.316993,0.757712,0.0,0.0
4625014004,0.096249,0.0,0.384997,0.0,0.0
4625014005,0.191764,0.2,0.567056,0.0,0.0
4625014006,0.15453,0.2,0.418119,0.0,0.0
4625014007,0.187824,0.0,0.751297,0.0,0.0
4625014008,0.17369,0.2,0.494758,0.0,0.0
4625014009,0.272685,0.316993,0.533934,0.239812,0.0
4625014010,0.258246,0.316993,0.715993,0.0,0.0
4625014012,0.24768,0.316993,0.673726,0.0,0.0
4625014013,0.138263,0.316993,0.23606,0.0,0.0
4625014014,0.142507,0.0,0.23606,0.0,0.333967
4625014015,0.196249,0.4,0.384997,0.0,0.0
4625014016,0.224718,0.316993,0.581881,0.0,0.0
4625014018,0.096249,0.0,0.384997,0.0,0.0
4625014019,0.037234,0.0,0.148937,0.0,0.0
4625014020,0.087782,0.0,0.297874,0.0,0.053254
4625014021,0.165704,0.316993,0.345821,0.0,0.0
4625014022,0.074468,0.0,0.297874,0.0,0.0
4625014023,0.174469,0.4,0.297874,0.0,0.0
4625014024,0.293753,0.316993,0.297874,0.0,0.560146
4625015001,0.079248,0.316993,0.0,0.0,0.0
4625015002,0.186397,0.4,0.0,0.0,0.345586
4625015003,0.242782,0.4,0.0,0.0,0.571126
4625015004,0.138885,0.2,0.0,0.0,0.355538
4625015005,0.087234,0.2,0.148937,0.0,0.0
4625015006,0.142556,0.2,0.0,0.0,0.370223
4625015007,0.0,0.0,0.0,0.0,0.0
4625015008,0.225462,0.2,0.0,0.0,0.701849
4625015010,0.137234,0.4,0.148937,0.0,0.0
4625015011,0.037234,0.0,0.148937,0.0,0.0
4625015012,0.205085,0.4,0.148937,0.0,0.271404
4625015013,0.38801,0.4,0.148937,0.239812,0.76329
4625015014,0.087234,0.2,0.148937,0.0,0.0
4625015015,0.037234,0.0,0.148937,0.0,0.0
4625015016,0.19936,0.4,0.0,0.0,0.397442
4625015017,0.198674,0.4,0.0,0.0,0.394698
4625015018,0.230938,0.2,0.23606,0.0,0.487692
4625015019,0.190936,0.316993,0.0,0.0,0.446751
4625015020,0.225496,0.4,0.0,0.0,0.501984
4625015021,0.285026,0.316993,0.384997,0.0,0.438114
4625015022,0.087234,0.2,0.148937,0.0,0.0
4625015023,0.074468,0.0,0.297874,0.0,0.0
4625015024,0.202552,0.464386,0.345821,0.0,0.0
4625015025,0.165704,0.316993,0.345821,0.0,0.0
4625015026,0.079248,0.316993,0.0,0.0,0.0
4625015027,0.153331,0.464386,0.148937,0.0,0.0
4625015028,0.05,0.2,0.0,0.0,0.0
4625015029,0.293701,0.2,0.446811,0.0,0.527994
4625015030,0.168698,0.0,0.23606,0.0,0.438734
4625015031,0.269574,0.316993,0.0,0.0,0.761303
4625015032,0.05,0.2,0.0,0.0,0.0
4625015033,0.293766,0.0,0.0,0.239812,0.935254
4625015034,0.231613,0.316993,0.148937,0.0,0.460521
4625015035,0.111292,0.0,0.0,0.0,0.445167
4625015036,0.0,0.0,0.0,0.0,0.0
4625015037,0.361014,0.316993,0.384997,0.0,0.742066
4625015038,0.168642,0.2,0.345821,0.0,0.128748
4625015039,0.103109,0.0,0.0,0.0,0.412437
4625015040,0.246824,0.316993,0.297874,0.0,0.372429
4625016001,0.146249,0.2,0.384997,0.0,0.0
4625016002,0.037234,0.0,0.148937,0.0,0.0
4625016003,0.124469,0.2,0.297874,0.0,0.0
4625016004,0.05,0.2,0.0,0.0,0.0
4625016005,0.086455,0.0,0.345821,0.0,0.0
4625016006,0.1,0.4,0.0,0.0,0.0
4625016008,0.0,0.0,0.0,0.0,0.0
4625016009,0.0,0.0,0.0,0.0,0.0
4625016010,0.166482,0.516993,0.148937,0.0,0.0
4625016011,0.0,0.0,0.0,0.0,0.0
4625016012,0.165704,0.316993,0.345821,0.0,0.0
4625016013,0.138263,0.316993,0.23606,0.0,0.0
4625016014,0.116483,0.316993,0.148937,0.0,0.0
4625016015,0.179394,0.0,0.23606,0.0,0.481517
4625016016,0.087234,0.2,0.148937,0.0,0.0
4625016017,0.384432,0.4,0.345821,0.0,0.791909
4625016018,0.079248,0.316993,0.0,0.0,0.0
4625016019,0.233484,0.4,0.533934,0.0,0.0
4625016020,0.05,0.2,0.0,0.0,0.0
4625016021,0.392784,0.4,0.23606,0.0,0.935078
4625016022,0.1,0.4,0.0,0.0,0.0
4625016023,0.14276,0.4,0.148937,0.0,0.022105
4625016024,0.247506,0.316993,0.23606,0.0,0.436972
4625016025,0.097187,0.0,0.148937,0.239812,0.0
4625016026,0.10487,0.0,0.23606,0.0,0.183421
4625016027,0.284453,0.2,0.533934,0.0,0.403879
4625016028,0.382048,0.516993,0.297874,0.0,0.713327
4625016029,0.05,0.2,0.0,0.0,0.0
4625016030,0.226756,0.4,0.148937,0.0,0.358088
4625016031,0.379526,0.464386,0.715993,0.0,0.337726
4625016032,0.211814,0.2,0.148937,0.0,0.498318
4625016033,0.282882,0.2,0.345821,0.0,0.585705
4625017001,0.165953,0.316993,0.345821,0.0,0.000998
4625017002,0.197187,0.4,0.148937,0.239812,0.0
4625017003,0.113681,0.2,0.0,0.239812,0.014913
4625017006,0.025834,0.0,0.0,0.0,0.103334
4625017007,0.160981,0.2,0.148937,0.239812,0.055174
4625017008,0.064952,0.0,0.0,0.0,0.259809
4625018001,0.223283,0.316993,0.148937,0.0,0.4272
4625018002,0.074468,0.0,0.297874,0.0,0.0
4625018003,0.124469,0.2,0.297874,0.0,0.0
4625018004,0.429046,0.4,0.515238,0.380094,0.420851
4625018005,0.35723,0.2,0.446811,0.0,0.782111
4625018006,0.382437,0.316993,0.533934,0.0,0.678821
4625018007,0.246498,0.2,0.345821,0.239812,0.200357
4625018008,0.294076,0.316993,0.384997,0.0,0.474313
4625018009,0.0,0.0,0.0,0.0,0.0
4625018010,0.181523,0.0,0.148937,0.0,0.577154
4625019001,0.176436,0.316993,0.148937,0.239812,0.0
4625019002,0.05,0.2,0.0,0.0,0.0
4625019003,0.124469,0.2,0.297874,0.0,0.0
4625019004,0.206202,0.2,0.384997,0.239812,0.0
4625019005,0.060687,0.2,0.0,0.0,0.042747
4625019006,0.316734,0.464386,0.446811,0.239812,0.115925
4625019007,0.257695,0.464386,0.551133,0.0,0.015261
4625019008,0.285001,0.316993,0.551133,0.239812,0.032066
4625019009,0.320188,0.316993,0.723533,0.239812,0.000414
4625019011,0.256202,0.4,0.384997,0.239812,0.0
4625019012,0.207128,0.4,0.418119,0.0,0.010393
4625019013,0.137234,0.4,0.148937,0.0,0.0
4625019014,0.226098,0.4,0.297874,0.0,0.206517
4625019015,0.147664,0.2,0.23606,0.0,0.154597
4625019016,0.124716,0.2,0.297874,0.0,0.000991
