cod_ine,suhi_2023,suhi_2024,suhi_2025
4625001001,3.2647138024661295,4.325677847108223,3.5523025306877605
4625001002,3.2407694112591052,5.4687296332645845,4.120045507788175
4625001003,2.1027994122917444,3.228936745370336,3.43917438476514
4625001005,3.618368053269021,3.9242325164849983,4.084722399591593
4625001007,4.726143859601047,3.958766507650395,4.235830005218767
4625001008,2.8470385770710176,2.7271450780106976,3.5214559380075685
4625001009,2.912642433377353,2.3172979617361675,3.361287102022547
4625001010,2.6412434846902317,2.521117779100691,3.6257992352821047
4625001011,2.1906634776170075,2.8308970531365962,3.7779543567998055
4625001012,3.645909697808562,4.874135283458808,3.9878065978674395
4625001013,3.95199634283701,5.357963509699987,4.221366184515884
4625001014,3.055923616475985,4.4361146909390134,3.9195541502384517
4625001017,3.4334524929816492,4.4077914601106265,3.8087020995820517
4625001019,3.5281462853713332,3.525986501810282,3.7030232532308127
4625001022,4.084064894902643,3.1016145746863217,3.168811899660745
4625001023,3.838555631586131,3.2140737676626885,3.3660976213340135
4625001024,3.579443890906242,3.962660269700974,3.988992228642855
4625001025,3.5905192051117756,4.094202512996313,3.938082522284625
4625001026,3.287023903009936,3.165048258853996,3.415264593026798
4625001028,4.07115742357401,3.374073911873397,3.549761348831118
4625001030,4.746192850534814,3.922233432815023,4.13953000338865
4625001031,6.2254661666025655,4.469977727184572,4.418033110106074
4625001032,5.2238540059287715,3.6256632714610557,3.7818015909968365
4625001034,4.02666329945222,2.9868817231357743,3.0497985505499594
4625002001,5.98810367173598,3.9773318682608427,4.3964010318377404
4625002003,6.4739814470896375,4.668406075728718,4.933288102408553
4625002004,5.246149763279144,5.643849290738695,4.1871545292056735
4625002006,5.53115146739755,6.52258550348006,4.902467290267712
4625002008,5.836973149371096,4.074170425556484,5.132281177361624
4625002009,5.876864970955298,5.5224645490439075,5.774834209255009
4625002010,4.999490921485124,6.448800625968809,5.3714234840875505
4625002013,5.8339806564131225,5.037716794491027,5.114589556282232
4625002014,5.275262704199128,4.2120898519541425,4.637334321180587
4625002015,5.86635480198286,5.437256886495717,5.50608540017871
4625002016,5.423740510923994,4.687389931953674,4.9544971635074155
4625002018,6.471224574033747,5.490845797407346,4.964600961498191
4625002019,5.868409631310692,5.77698573301409,5.704574948647032
4625002020,3.839562386011379,3.854198727226813,3.4124056722362504
4625002021,5.592198055546254,4.319594729814941,5.275951811823778
4625002023,6.570877498857897,6.465866091230836,5.223561236616926
4625002024,4.851805144367235,6.583905425106298,5.9338316534329705
4625002025,6.0137666465931,6.119627502815012,5.923329822901375
4625002026,6.667693840320483,5.42363250952948,5.079676626685578
4625002030,5.444538719236389,4.518803532831771,4.740086796371767
4625002031,5.399190520334587,4.655406905776893,4.913138761421326
4625002032,5.278036051038884,4.876651745144949,3.8195479011483795
4625002033,5.375602597157614,3.5715140719965652,4.220071044426868
4625002035,5.206022735014838,3.907829662216182,3.9096567095817965
4625002036,6.001136844171664,4.484964330577225,4.591597336721136
4625002037,5.008835468695889,4.416464070979839,4.669873117770898
4625002039,4.0015185171909105,3.113965673477811,3.601782379795698
4625002041,3.7758557421330403,1.916683549872438,2.6655433493922738
4625002042,5.0076645150304016,4.565015589591244,4.904034795194517
4625002043,4.479899617876644,3.074861397296144,3.7103277177901943
4625002044,5.140731628055258,3.800273385888499,4.394997316252766
4625002045,3.7935087498557367,2.815419611960453,3.6724609723203225
4625002046,4.162987653323443,2.227143696337616,3.1713729562465023
4625002047,4.534833304455711,3.328728066957336,3.601761121157103
4625002050,5.323583453745651,4.489134943624558,4.329831247896787
4625002051,5.463497031973459,5.190335663940238,5.2032203325990976
4625002053,5.589179203178642,5.805271437080038,4.629596924157753
4625002054,5.837722033123578,5.558853808685775,5.344689293007851
4625002055,3.7088057647515806,3.7578785916607584,4.053617287504233
4625002057,3.323533126979575,4.308338498939562,3.789858930621047
4625003001,5.121366999340554,3.9589542252739065,3.9229989175754785
4625003002,5.230537455076403,3.9347164740129146,3.9591210190597526
4625003004,4.365667788072464,3.668631851153351,3.980383167351708
4625003007,1.4038269431040407,0.5061040092522152,1.5484215228159293
4625003008,1.8635035725587255,2.087041337630449,2.5854536163860864
4625003010,6.545359133422879,4.73700503075334,5.070660109099646
4625003013,6.095592586558864,4.803310197575632,4.833335289718656
4625003015,4.8298492757312665,3.5636671193591045,3.8346540493531966
4625003017,4.8241703609051125,5.313951555254251,4.813090761859
4625003018,4.700762131907821,3.5839989765915727,4.0144009871900765
4625003019,4.34972966470011,3.627434219389613,4.047776779545006
4625003020,4.397216916848437,4.390962199496276,4.265651160380998
4625003021,4.975000770744259,4.684114378273065,4.3017197761804224
4625003023,4.371436860102213,4.1124155759148175,3.3078751528073043
4625003025,5.400271826257478,5.1920652115981065,4.417278549280627
4625003026,4.954294929496899,4.503471337169704,4.58228432392494
4625003027,4.546270006749337,3.8704320284762144,4.5969294172050965
4625003029,4.363027825718186,5.620382328700829,4.547379790490424
4625003030,4.654891052829073,4.567038972354808,4.756041424224006
4625003032,4.625356508741179,6.315629097100393,4.969338862278611
4625003033,7.823307989913414,7.342771815894352,6.608158104474121
4625003034,5.519752466969284,4.02415282258506,4.201918393201463
4625003035,4.581530532972207,4.525966071378844,4.608220746384493
4625003036,5.213848508157045,4.271966079158498,4.335339504658065
4625003037,5.331391617434274,4.640510855014283,4.8878340458164855
4625003038,5.5743248258714155,4.651851052416682,5.008759768494375
4625003040,4.806999374617025,3.709346810449768,3.9244586102391583
4625003041,3.822423504696393,3.8035690359722087,3.7732208019712457
4625003044,4.572053507871943,4.00337599323714,4.192083351539408
4625003046,4.552430387805976,4.866802709007301,4.86393459490567
4625003047,5.826945732836827,4.191331428804519,4.894179131531415
4625003048,6.125152874089995,5.639410763248224,5.287216755829601
4625003049,5.431788177613768,4.5810512878092045,4.595881283005082
4625003050,5.247588016875458,5.906201459009084,4.928812029743859
4625003052,4.016233927140525,4.99081458878841,4.2601412819005775
4625003053,4.358183301795303,5.852899610251412,4.414195465177143
4625003055,5.180632159383204,4.795569651868368,4.920294170827003
4625004001,4.457006084649322,4.603625140409898,4.225740421872488
4625004002,4.832851114506754,6.2432934230516155,5.40817499529253
4625004003,4.494716811362381,6.606684692447134,5.069491648870491
4625004004,5.006355564463173,6.429769977814487,4.949329668932537
4625004005,4.072178982094599,5.923497843423127,4.301334885827861
4625004006,4.280947120235439,4.606393646209382,3.399217207536223
4625004007,4.611226970426103,4.255524147317218,5.557513043458842
4625004008,2.8084651116156314,3.1380407227412412,3.646084902366615
4625004009,3.979223955667219,3.9770202331714772,3.912217529979052
4625004010,5.647593538154547,5.141818718996734,5.367334974313475
4625004011,5.594238008305258,4.863224893875106,5.326241999504182
4625004012,5.980508895318587,4.051868899364657,5.57470263869085
4625004014,6.990514367783995,4.186962234924834,5.7202695784382875
4625004015,5.391710814745323,4.3981998520623975,5.272814592655961
4625004016,7.178286885460532,4.689678841906292,5.9238828952947475
4625004017,4.433605342034622,5.954609219366131,4.724053081055971
4625004018,5.75706736697957,7.294009734328045,6.614568846604221
4625004019,3.7099711548592778,4.245087279144905,2.9039719075670622
4625004020,3.6660013934978015,5.346646917649261,3.4676240797728157
4625004021,3.2874955080146413,3.4791095728256463,2.292347696918862
4625004022,5.00643704378707,5.794185987770241,4.823760038342314
4625004023,3.695679589555948,3.479313158059627,2.8347799510604372
4625004024,3.904616179140941,5.0427217629032794,3.7779923994856026
4625004025,3.1663583131738027,3.2929746582779704,3.4044538964084574
4625004026,2.836907084324994,3.1977963380771626,2.8776640176873465
4625004027,2.970477304322062,4.98174717989766,3.031011427729761
4625004028,5.350075453508388,6.5958509062904405,5.796314527709055
4625004029,3.449094437294109,4.910566178780931,2.960304404451234
4625004030,3.2486660084134122,5.063419232342734,3.147955662778689
4625005001,3.2749678680021916,3.312608070785858,4.48272265624784
4625005002,2.1499472207747883,2.3704258574929686,3.4265405296624456
4625005003,4.320010989896667,2.8737737688894187,4.157413526498081
4625005004,4.968647553653986,3.3048470082039936,4.870616883470852
4625005005,4.044211650759084,3.7660681580857878,4.038829847472093
4625005006,5.031925749386637,4.877157693178269,5.1010469944725285
4625005007,3.774040086284281,4.501698858472613,5.230989543488187
4625005008,3.0591189973028965,3.55365387954271,4.30640849447976
4625005009,2.2860440297632265,1.1328608834468983,2.883322823824566
4625005010,2.186418655377713,1.860319286195232,3.539866163488004
4625005011,3.796398443980023,3.4795083223349623,4.863920378480713
4625005013,2.8135683622653636,2.755043915815489,4.7019077769379285
4625005014,2.7366118924273555,2.7050317452779145,4.448748658163297
4625005015,2.4256771942272706,1.999685343631201,3.9636918509025847
4625005016,3.0025942334841336,2.727351039693964,4.353258943054332
4625005017,2.6431938233195944,2.4961324036969987,3.8877366322635125
4625005018,1.9467295878288242,2.483482332711271,3.3816284701308943
4625005021,3.2746580935126417,3.6951331423381504,5.018653231260192
4625005022,2.2575466946800313,2.6947670821807295,4.034834985204051
4625005025,0.6709310936502476,0.40377130844463993,1.8407658343079467
4625005027,2.8132394429542247,3.232910667940312,4.197241817900291
4625005028,3.2176696163147875,2.9555693087617727,3.730698740430041
4625005029,2.9681739746242894,3.145214610836762,4.001383385176833
4625005031,5.432151630567565,3.6529180817126186,5.193583267335111
4625005033,5.735090330242888,4.540243831863567,5.702554386482513
4625005034,3.290221612508261,3.7744571115378895,4.056108954244919
4625005036,5.185509034543437,3.930310294171643,5.257406838454423
4625005037,3.0448274259165617,3.202563348702552,4.536996040977712
4625005038,4.266715623744877,3.0946661170399716,4.351153165025283
4625005039,4.039320484801223,2.909184472782972,4.492913553449107
4625005040,3.0710956084917793,3.4729727237160994,4.639333002683408
4625005041,4.11026316580712,2.422823974335958,4.803147630496124
4625005042,5.421117198346732,3.8581521401442065,5.664115703075046
4625005043,5.284506545872371,3.9353193486364146,4.871667371191087
4625005044,3.5404577122209133,2.6987784188316386,4.342655566398227
4625006001,1.9477875306279124,1.2576344716841104,2.3237966779157997
4625006002,3.0208572351018463,2.626702208415607,3.245005824347736
4625006003,4.163603677050875,2.993221210200878,4.237021735758812
4625006004,2.531797455209379,1.477224515535979,2.8070394908515577
4625006006,0.8763787839278075,-0.22279874706876487,1.2446807028327707
4625006007,4.002198715337315,2.1219199789101544,3.5675160666302483
4625006008,3.084034725554672,2.322349915813831,3.0996655639035566
4625006009,4.757327054119163,3.8975116325926975,4.581275417722921
4625006011,4.338215197120936,3.948694517307258,3.991801128886443
4625006012,1.848368381044649,2.3629091128132673,2.3517123930519017
4625006013,3.904373269296021,3.6233046976275944,3.9461174993825225
4625006014,4.05434396312728,3.9126874129551426,3.8239483306443325
4625006015,4.115284647810943,3.2190346184913916,3.4456076624434795
4625006016,3.4043588401110525,3.6608019343231804,4.056300562535773
4625006017,3.6248209384708545,4.820140253872903,4.246002046263336
4625006018,0.6998136191622099,0.9232059275029081,1.527958819668463
4625006019,2.3838723004637763,3.146383155892396,3.905682563432882
4625006021,3.475173548728209,4.407688437001801,3.617975068731304
4625006022,4.339647331740887,4.516302739651047,3.917459075808352
4625006023,4.048311755589023,3.5610449512653406,3.237497395927329
4625006024,3.69741983139316,3.6069116478317844,3.2531983536640885
4625006026,3.296374865771769,2.4520117858568224,2.7319742895624817
4625006027,3.711256145939309,2.664362312967713,2.7742238094306004
4625007001,6.343625050295819,4.713405671410675,5.361528595002005
4625007002,6.789501097199039,5.023868851035757,5.309592399095767
4625007003,4.59042204555656,3.4466960395058104,3.127624089211224
4625007004,6.339705556472051,4.835617573193845,5.458300658146632
4625007005,5.756032798807582,5.136043357576928,4.884609739653798
4625007006,5.150909179833505,6.163248052046243,4.917019574613716
4625007007,5.156862965831683,7.296327107403976,5.705183532355328
4625007008,4.250116772830164,5.890152490933146,4.423908964306308
4625007009,4.6514679005040405,6.487131721272533,4.886172055379048
4625007010,4.063262816003912,2.907492755141828,3.721349222178018
4625007012,4.183289438105117,5.177101767828104,5.189003373078004
4625007013,3.8823495369575194,5.457120232739591,5.021840333101409
4625007014,4.396556809131175,4.6221760803236105,4.894295485429787
4625007015,5.331533695498261,4.229827505196102,4.5569189763545825
4625007016,5.274718205296221,5.61123862456695,5.0971342008821905
4625007017,6.359388558164282,4.769420770118579,4.838742048547812
4625007018,6.513893778127131,5.5643650939318325,5.752469005924525
4625007019,5.152352877056182,5.571628532687865,4.9347851861695124
4625007020,4.881852136561018,5.756515123566041,5.07382753478206
4625007021,5.182831441878178,5.4413625711490825,5.215290828788389
4625007022,4.568522297368181,3.9984769439970544,4.700345407782931
4625007023,5.219870857784199,4.956620723841631,4.77503617525057
4625007024,5.038476398450672,4.360236165295432,5.234202864788791
4625007025,3.9245191904610923,3.4875201052036937,4.35329386833874
4625007026,3.76669139016933,5.863032980121275,4.746405511372393
4625007027,4.213231489163396,5.19467691550707,5.041140032237445
4625007030,3.5040299726813875,5.9186293786526205,4.761693489972879
4625007031,5.044994834314795,4.762030282115196,5.390660629967595
4625007032,3.900819561278195,4.351003876924085,4.495843475491293
4625007036,3.166391718156016,2.968415863305384,4.058021192841347
4625007037,4.5670725651633335,4.152161924072714,4.775545242544832
4625007039,3.423279455696032,4.048644084551841,4.761884690471812
4625007040,3.1849119731517055,2.6382311794619624,4.009574674896614
4625007041,6.376533915864948,6.862172737802549,5.245435296583967
4625007042,4.326867483927115,4.305568758886484,4.469836060488143
4625008001,4.105228682823898,3.752016420827868,4.293683190382684
4625008002,4.913594932036991,6.111725465888644,4.943878177274405
4625008003,5.220709405079789,4.592668088465054,5.238068232617319
4625008004,4.306705231150575,3.728456053548371,4.735064926982028
4625008006,4.08363150747629,5.059250095918608,4.272980502070578
4625008007,6.4309262531197335,5.803150508143805,6.317555470933742
4625008008,5.145480883332629,4.8099976947114405,5.266691004964347
4625008009,5.038034563236045,4.739933726423135,4.89248979822916
4625008010,5.361009455003653,4.198900120595586,5.345684551576479
4625008012,3.5724892526849517,2.7394285576307182,4.226508331919682
4625008013,5.11349133538022,4.050834433524599,4.964702672034207
4625008014,5.234782854046183,3.7342872259597604,4.9126070587435455
4625008015,5.7606417816680535,4.691492774485999,5.416667243198379
4625008016,5.21619929162956,3.5383815134473804,5.026876130832595
4625008017,4.704568174931324,3.7206743588286737,5.188249914900803
4625008018,4.890642611254051,3.4759299025483292,4.857745184170342
4625008019,3.0089553065159835,3.56824498110911,3.9918639330912105
4625008020,4.536856955585564,4.021122697672385,5.1475865972051755
4625008021,4.9573779699750355,4.918844526503865,4.76918635874162
4625008022,5.265036959289408,4.5092662288124705,5.556795847051453
4625008023,4.371369223947852,3.015508848718471,4.255565043747931
4625008024,5.501272100220298,5.222315743393953,6.7411875480319825
4625008025,3.902579291064082,3.215295117475414,4.199981408239576
4625008026,5.682989362098532,4.960050858911841,5.260018075486338
4625008027,4.07410559086148,3.663215633265802,4.208471722563015
4625008028,3.491024432804117,2.9315331264131252,4.273649461856387
4625008029,3.385254133638042,2.302113740696355,3.190179542995325
4625008030,3.832363822407968,2.9495232310917254,4.261115120736269
4625008031,5.07935839577882,5.064620191624634,5.586433478508464
4625008032,4.740180123604169,6.243562083131834,5.946141372855625
4625008033,5.52832653675661,6.028291158620587,5.784549974095641
4625008034,3.6697420615164607,3.209785638898053,4.026069453376728
4625008035,3.2928725753581984,2.7597296745179065,3.461866315982457
4625008036,4.548000383329004,3.7682762545935855,4.993777480794016
4625008037,4.197134904556882,3.6353066412902253,4.579301381416961
4625008038,3.537888075692873,2.5284890927391994,3.837210349447527
4625008039,5.524070967136048,5.99550946246976,5.203865345589455
4625008040,5.8187949955211815,4.771051603513289,5.5753426063261236
4625008041,4.457416005019498,3.54822722282957,4.797019243270238
4625008042,3.6186379278395875,2.704545589952111,3.868580704934374
4625009001,5.385806409968293,4.974255254321365,4.975922177191827
4625009002,5.569596994518723,5.50744073702719,5.805170691203114
4625009003,5.860755840839057,5.632716669565711,5.956338973217178
4625009004,5.87655316712268,4.574759400951292,5.345003729582781
4625009005,6.23406185130633,5.061073556686102,5.296657541043444
4625009007,6.75835582723,5.352096324444236,5.8188916664236485
4625009008,6.311467947969128,5.348527621399424,5.918614366047276
4625009009,5.9230149741143725,5.7924947597596415,5.015351848282641
4625009010,6.465625662931585,6.702823535591147,5.79883686646151
4625009012,5.157777170218882,5.236865443567288,6.247870824558848
4625009013,7.701912113903745,7.1204474328971585,6.681747827905092
4625009015,7.068260028858659,6.0586271451426645,6.30094556450213
4625009016,8.202367748790238,6.096686578810816,6.499948722845092
4625009017,3.7906618294905354,5.302325659267975,4.36633750499892
4625009018,4.9308356334917365,6.133526024816923,5.354745147476934
4625009019,5.686299148943413,6.36688209826295,5.657549716888632
4625009020,4.448282104666363,6.771968622395418,5.331542781509543
4625009021,6.042823661131571,6.807633060611463,5.564682775767017
4625009022,7.144368004264253,6.750487395380441,5.72816312221581
4625009023,8.289047506090501,7.262531864702387,6.132097095187704
4625009024,6.089578313258522,6.370560301230528,5.482908204101596
4625009025,5.40998786354162,5.301229130027081,5.0394026287852975
4625009026,6.733760469591362,5.571989456740359,5.682065220703864
4625009028,4.817238544759544,6.720184359579149,4.926206337388326
4625009029,6.37843466997092,7.092325074719289,5.795978468441195
4625009030,5.114561449506878,5.108104837633729,5.198742246466439
4625009031,3.674288695406141,4.692057166371444,3.7113979678914304
4625009032,4.792054128356128,4.6699975684524055,4.829352433467028
4625009033,4.9095598231298005,5.106339433224727,4.202403917722266
4625009034,4.631132955311019,4.380306639421038,4.043112139571344
