cod_ine,coddistrit,pob_total,HVI,FP,wk
4625009035,09,1026,0.720146,0.129248,0.703995
4625009036,09,750,0.75697,0.0,0.712921
4625009037,09,968,0.73099,0.0,0.661527
4625009038,09,2264,0.607208,0.200372,0.515757
4625009039,09,1685,0.641289,0.28689,0.625963
4625009040,09,942,0.766374,0.153331,0.807353
4625009041,09,1656,0.735565,0.159015,0.749218
4625009042,09,1353,0.661405,0.138263,0.592253
4625010001,10,2074,0.687262,0.53969,0.841927
4625010002,10,1654,0.705953,0.372,0.795971
4625010003,10,1955,0.722483,0.175498,0.731491
4625010004,10,1296,0.713874,0.212655,0.732837
4625010005,10,1457,0.723315,0.451232,0.8695
4625010006,10,1391,0.742949,0.207315,0.787711
4625010007,10,2123,0.748653,0.074468,0.733296
4625010008,10,1804,0.763703,0.183778,0.817127
4625010009,10,1146,0.770296,0.138263,0.807659
4625010010,10,1134,0.680007,0.391114,0.754098
4625010011,10,935,0.759805,0.366615,0.899837
4625010012,10,835,0.778592,0.196249,0.852747
4625010013,10,1752,0.678123,0.146249,0.629274
4625010014,10,1144,0.702315,0.34489,0.775367
4625010015,10,991,0.754931,0.251872,0.83345
4625010016,10,1402,0.752906,0.272685,0.839737
4625010017,10,1214,0.733604,0.220626,0.775808
4625010018,10,1625,0.68719,0.25786,0.702407
4625010019,10,1394,0.727424,0.195428,0.751121
4625010021,10,1846,0.72794,0.074468,0.692322
4625010022,10,2284,0.723709,0.202938,0.747486
4625010023,10,1149,0.750516,0.037234,0.718567
4625010024,10,2248,0.739887,0.05,0.703855
4625010025,10,1466,0.666509,0.137234,0.601841
4625010026,10,1808,0.793504,0.186455,0.877402
4625010027,10,929,0.727686,0.087234,0.698133
4625010028,10,1299,0.714868,0.29023,0.773167
4625010029,10,1953,0.676323,0.215704,0.660062
4625010030,10,1299,0.663136,0.287569,0.669516
4625010031,10,2008,0.713701,0.137234,0.695195
4625010032,10,1708,0.699856,0.298621,0.74762
4625010033,10,1211,0.723563,0.166879,0.729365
4625010034,10,1548,0.708438,0.184755,0.708285
4625010035,10,1140,0.621729,0.234434,0.561327
4625010036,10,1019,0.659091,0.341425,0.688148
4625010037,10,1136,0.660375,0.210502,0.625941
4625010039,10,2770,0.540966,0.325445,0.446572
4625010040,10,1963,0.606311,0.663718,0.743129
4625010041,10,873,0.691872,0.236617,0.701163
4625010043,10,2723,0.720973,0.20964,0.745389
4625010044,10,1268,0.686854,0.294805,0.720013
4625010045,10,797,0.732483,0.345842,0.835516
4625010046,10,910,0.760104,0.175498,0.805912
4625010047,10,1305,0.733311,0.218826,0.774338
4625010048,10,2224,0.65829,0.190565,0.611956
4625010049,10,1514,0.712401,0.116483,0.682361
4625010050,10,1211,0.713137,0.329556,0.789192
4625010051,10,1358,0.565457,0.364694,0.51443
4625010052,10,2137,0.575949,0.21803,0.462653
4625010053,10,2327,0.544844,0.407629,0.494887
4625010054,10,3263,0.5674,0.323796,0.498048
4625010055,10,3058,0.529615,0.153717,0.33919
4625011001,11,1674,0.712535,0.226823,0.737194
4625011002,11,1502,0.69091,0.352416,0.756528
4625011004,11,1299,0.718068,0.465589,0.866221
4625011005,11,1676,0.711494,0.11803,0.681332
4625011006,11,1272,0.720088,0.40907,0.842265
4625011008,11,2119,0.725028,0.213053,0.755098
4625011009,11,2428,0.66147,0.279621,0.662289
4625011011,11,1540,0.698954,0.234512,0.714131
4625011012,11,1755,0.716811,0.44481,0.853458
4625011015,11,867,0.747339,0.283642,0.834143
4625011017,11,1640,0.74266,0.244872,0.805713
4625011019,11,941,0.761748,0.477847,0.95869
4625011021,11,1168,0.725072,0.227799,0.762478
4625011022,11,1094,0.710052,0.218968,0.728398
4625011024,11,845,0.707834,0.219197,0.724124
4625011026,11,1516,0.751741,0.239786,0.821162
4625011028,11,1471,0.726091,0.206202,0.753813
4625011030,11,1214,0.735844,0.109015,0.725042
4625011031,11,963,0.687575,0.360447,0.753902
4625011032,11,1181,0.685685,0.137234,0.639774
4625011033,11,1803,0.694542,0.276532,0.726184
4625011034,11,1586,0.722252,0.175112,0.730843
4625011035,11,1056,0.737566,0.188263,0.767641
4625011036,11,953,0.748702,0.086455,0.739321
4625011037,11,978,0.735736,0.116096,0.728331
4625011038,11,1433,0.703197,0.318523,0.764072
4625011039,11,1311,0.750755,0.086455,0.743382
4625011040,11,1112,0.66648,0.225704,0.645536
4625011041,11,2474,0.690489,0.328468,0.743852
4625011042,11,1299,0.697837,0.168744,0.679396
4625011044,11,1055,0.696257,0.233095,0.708095
4625011045,11,1120,0.703711,0.153331,0.683394
4625011046,11,1625,0.720928,0.287752,0.78393
4625011047,11,1567,0.700828,0.153331,0.677691
4625011048,11,1276,0.701442,0.087234,0.646217
4625011050,11,1246,0.789133,0.327351,0.938435
4625011051,11,1103,0.6428,0.303684,0.637257
4625011052,11,1868,0.648945,0.216278,0.606187
4625011053,11,1777,0.63358,0.230252,0.582703
4625011054,11,1192,0.661509,0.153717,0.600101
4625011055,11,1428,0.698778,0.270982,0.731819
4625012001,12,1909,0.726088,0.153717,0.72785
4625012002,12,1287,0.70231,0.175498,0.691585
4625012003,12,1595,0.738658,0.11803,0.735067
4625012006,12,2074,0.755387,0.258826,0.837791
4625012008,12,1318,0.737755,0.059015,0.704095
4625012009,12,1030,0.774,0.0,0.746609
4625012010,12,1444,0.64416,0.356616,0.666125
4625012011,12,1096,0.653061,0.0,0.507369
4625012012,12,1668,0.686028,0.146408,0.64499
4625012013,12,2165,0.727732,0.112476,0.710707
4625012014,12,1777,0.673714,0.037234,0.566639
4625012015,12,1263,0.730816,0.111703,0.716425
4625012016,12,1884,0.645677,0.153717,0.568783
4625012018,12,1443,0.71899,0.175498,0.724581
4625012019,12,1232,0.715259,0.136455,0.697892
4625012020,12,1199,0.750304,0.037234,0.718148
4625012021,12,2047,0.70531,0.118968,0.669563
4625012023,12,1202,0.728143,0.22369,0.766521
4625012024,12,1882,0.706307,0.221012,0.722001
4625012025,12,2403,0.621794,0.212225,0.550472
4625012026,12,1411,0.728901,0.086455,0.700151
4625012027,12,1270,0.709802,0.124469,0.681169
4625012028,12,1620,0.765149,0.274265,0.864737
4625012029,12,1426,0.707497,0.266366,0.746784
4625012030,12,1563,0.738644,0.260059,0.80528
4625012031,12,1409,0.715316,0.096249,0.678121
4625012032,12,985,0.677528,0.137234,0.623638
4625012033,12,1409,0.731086,0.244898,0.782831
4625012034,12,1091,0.684761,0.21803,0.677904
4625012035,12,958,0.68943,0.037234,0.597728
4625012036,12,1471,0.785154,0.021679,0.779395
4625012037,12,2591,0.490293,0.424424,0.395281
4625012038,12,1922,0.639425,0.17369,0.566292
4625012039,12,1467,0.746332,0.111703,0.747119
4625012040,12,1774,0.603918,0.406248,0.611064
4625012041,12,2432,0.444239,0.45936,0.321455
4625012042,12,1492,0.525556,0.175112,0.341742
4625012043,12,1205,0.759468,0.303424,0.867919
4625012044,12,1563,0.589154,0.190951,0.475383
4625012045,12,2101,0.498938,0.380654,0.390736
4625012046,12,1925,0.433461,0.454507,0.297734
4625012047,12,1039,0.678829,0.446046,0.778934
4625012048,12,1713,0.503494,0.377972,0.398423
4625013001,13,1907,0.690698,0.256202,0.708526
4625013002,13,2034,0.761188,0.21803,0.829091
4625013003,13,775,0.685103,0.037234,0.589168
4625013004,13,1254,0.648676,0.36612,0.679758
4625013005,13,1457,0.645641,0.074468,0.529519
4625013007,13,915,0.747316,0.159015,0.772464
4625013008,13,1343,0.721279,0.378414,0.829461
4625013009,13,935,0.733149,0.243712,0.786325
4625013010,13,1354,0.730353,0.087234,0.703409
4625013011,13,706,0.693878,0.330275,0.751449
4625013012,13,1948,0.651278,0.365684,0.68469
4625013013,13,871,0.650774,0.404832,0.703053
4625013014,13,1531,0.60145,0.432224,0.619028
4625013015,13,1035,0.642825,0.283484,0.627317
4625013016,13,1955,0.696454,0.159015,0.671849
4625013017,13,1376,0.718565,0.191834,0.731819
4625013019,13,964,0.774917,0.20453,0.849573
4625013020,13,753,0.709999,0.16603,0.702113
4625013021,13,1088,0.708978,0.380992,0.806402
4625013022,13,1190,0.658104,0.397727,0.71404
4625013023,13,1598,0.615764,0.218694,0.541743
4625013024,13,1711,0.670499,0.376543,0.728083
4625013025,13,1940,0.603245,0.430404,0.621679
4625013026,13,1033,0.647243,0.086455,0.538616
4625013027,13,1551,0.594126,0.321539,0.549801
4625013028,13,1360,0.621777,0.225633,0.55707
4625013029,13,864,0.742525,0.154877,0.76094
4625013030,13,1055,0.700232,0.109015,0.654595
4625014001,14,1920,0.62168,0.37723,0.63185
4625014002,14,2254,0.719336,0.268676,0.771346
4625014004,14,1158,0.698903,0.096249,0.645653
4625014005,14,967,0.649276,0.191764,0.594718
4625014006,14,1109,0.76167,0.15453,0.79864
4625014007,14,1021,0.723026,0.187824,0.738661
4625014008,14,997,0.706375,0.17369,0.698732
4625014009,14,1234,0.714357,0.272685,0.76348
4625014010,14,1564,0.729044,0.258246,0.785392
4625014012,14,1023,0.711665,0.24768,0.745788
4625014013,14,1480,0.7267,0.138263,0.721418
4625014014,14,1193,0.728797,0.142507,0.727666
4625014015,14,1215,0.672074,0.196249,0.642035
4625014016,14,1534,0.742028,0.224718,0.794496
4625014018,14,1406,0.7371,0.096249,0.721214
4625014019,14,1695,0.623714,0.037234,0.467729
4625014020,14,2206,0.57096,0.087782,0.38837
4625014021,14,1346,0.579062,0.165704,0.442934
4625014022,14,932,0.727092,0.074468,0.690644
4625014023,14,978,0.673807,0.174469,0.634692
4625014024,14,1243,0.593881,0.293753,0.535575
4625015001,15,1278,0.753,0.079248,0.744259
4625015002,15,1106,0.715574,0.186397,0.723214
4625015003,15,1247,0.705792,0.242782,0.731748
4625015004,15,1060,0.712667,0.138885,0.693966
4625015005,15,1809,0.733018,0.087234,0.70868
4625015006,15,1659,0.73575,0.142556,0.741444
4625015007,15,1190,0.749101,0.0,0.697354
4625015008,15,1524,0.682835,0.225462,0.677769
4625015010,15,1349,0.718313,0.137234,0.704318
4625015011,15,1304,0.779104,0.037234,0.77512
4625015012,15,1568,0.709918,0.205085,0.721267
4625015013,15,1305,0.717538,0.38801,0.826806
4625015014,15,1558,0.756126,0.087234,0.754392
4625015015,15,1642,0.740047,0.037234,0.697858
4625015016,15,1683,0.690518,0.19936,0.680059
4625015017,15,1587,0.685712,0.198674,0.670213
4625015018,15,2038,0.758448,0.230938,0.830054
4625015019,15,1071,0.771412,0.190936,0.835916
4625015020,15,1569,0.758678,0.225496,0.827818
4625015021,15,2331,0.725593,0.285026,0.79181
4625015022,15,1548,0.741459,0.087234,0.725378
4625015023,15,1591,0.775541,0.074468,0.786485
4625015024,15,1716,0.747305,0.202552,0.793973
4625015025,15,1515,0.766279,0.165704,0.813284
4625015026,15,1516,0.713905,0.079248,0.666922
4625015027,15,1055,0.709499,0.153331,0.694843
4625015028,15,1218,0.61248,0.05,0.45182
4625015029,15,1054,0.658578,0.293701,0.663532
4625015030,15,1909,0.762808,0.168698,0.807898
4625015031,15,974,0.68586,0.269574,0.705569
4625015032,15,971,0.749106,0.05,0.722091
4625015033,15,1322,0.536087,0.293766,0.421254
4625015034,15,1863,0.506024,0.231613,0.331046
4625015035,15,1539,0.55566,0.111292,0.369731
4625015036,15,1216,0.75081,0.0,0.700735
4625015037,15,1848,0.49956,0.361014,0.382254
4625015038,15,2290,0.473074,0.168642,0.234723
4625015039,15,1329,0.695838,0.103109,0.642982
4625015040,15,1539,0.461513,0.246824,0.250518
4625016001,16,1682,0.759698,0.146249,0.790644
4625016002,16,1979,0.763412,0.037234,0.744078
4625016003,16,1973,0.770663,0.124469,0.801564
4625016004,16,873,0.766252,0.05,0.756009
4625016005,16,1770,0.711618,0.086455,0.665962
4625016006,16,2029,0.774985,0.1,0.798012
4625016008,16,1739,0.723768,0.0,0.647241
4625016009,16,1346,0.715418,0.0,0.630723
4625016010,16,1154,0.715159,0.166482,0.712544
4625016011,16,1486,0.727024,0.0,0.653682
4625016012,16,1052,0.741569,0.165704,0.764403
4625016013,16,1461,0.775275,0.138263,0.817509
4625016014,16,1338,0.760211,0.116483,0.776938
4625016015,16,1465,0.791846,0.179394,0.870631
4625016016,16,1332,0.804486,0.087234,0.850057
4625016017,16,1904,0.59332,0.384432,0.57931
4625016018,16,901,0.787167,0.079248,0.811848
4625016019,16,1907,0.554128,0.233484,0.42713
4625016020,16,1629,0.721304,0.05,0.667094
4625016021,16,1376,0.659665,0.392784,0.714683
4625016022,16,1092,0.682953,0.1,0.615956
4625016023,16,2527,0.666554,0.14276,0.604662
4625016024,16,1437,0.75886,0.247506,0.839063
4625016025,16,1255,0.735406,0.097187,0.718327
4625016026,16,1443,0.813392,0.10487,0.876397
4625016027,16,1344,0.71184,0.284453,0.76432
4625016028,16,1343,0.610644,0.382048,0.612401
4625016029,16,2016,0.511657,0.05,0.252373
4625016030,16,2007,0.586772,0.226756,0.488379
4625016031,16,1567,0.650839,0.379526,0.690667
4625016032,16,2791,0.522685,0.211814,0.354213
4625016033,16,1925,0.521445,0.282882,0.386907
4625017001,17,1471,0.476333,0.165953,0.23984
4625017002,17,738,0.648029,0.197187,0.594933
4625017003,17,1228,0.613871,0.113681,0.486065
4625017006,17,1342,0.529639,0.025834,0.275994
4625017007,17,759,0.656492,0.160981,0.593769
4625017008,17,1360,0.573728,0.064952,0.382556
4625018001,18,1585,0.755846,0.223283,0.821121
4625018002,18,1107,0.753878,0.074468,0.743632
4625018003,18,989,0.764615,0.124469,0.7896
4625018004,18,2434,0.672216,0.429046,0.757445
4625018005,18,1302,0.699896,0.35723,0.776685
4625018006,18,1562,0.736868,0.382437,0.862288
4625018007,18,1867,0.7095,0.246498,0.740921
4625018008,18,2050,0.700836,0.294076,0.747311
4625018009,18,1644,0.720307,0.0,0.640394
4625018010,18,1036,0.712859,0.181523,0.715432
4625019001,19,1376,0.722807,0.176436,0.732596
4625019002,19,759,0.677976,0.05,0.581383
4625019003,19,1741,0.67977,0.124469,0.62176
4625019004,19,1246,0.70887,0.206202,0.719746
4625019005,19,2264,0.587865,0.060687,0.408412
4625019006,19,1852,0.616174,0.316734,0.59104
4625019007,19,809,0.407988,0.257695,0.150011
4625019008,19,2066,0.389443,0.285001,0.12683
4625019009,19,759,0.58157,0.320188,0.524295
4625019011,19,1066,0.648293,0.256202,0.624641
4625019012,19,2734,0.550458,0.207128,0.406836
4625019013,19,1705,0.707193,0.137234,0.682321
4625019014,19,1618,0.739465,0.226098,0.790108
4625019015,19,1091,0.700379,0.147664,0.674
4625019016,19,1591,0.3654,0.124716,0.0
